,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timing,,Project Information,,,,,,,,,,,Property Information,,,,,,,Broker Guidence,,,Description,Actual Price,,
,2019-03-26,,Storheden,Carl Rosén,Coop,Newsec,Sweden,Luleå,,,,,Retail,"26,451","1,118",,,,,,,,,,,,1
,2019-03-27,,Hägern 5,Carl Rosén,Lindéngruppen,Cushman & Wakefield,Sweden,Jönköping,,,,,Office,"4,856","1,398",,,,,,,,,,,,1
,2019-03-31,,Stenalyckan,David Hävermark,Private individuals,Prodevia,Sweden,Halmstad,,,,,Retail,"1,991","1,227",,,,,,,,,,,,1
,2019-03-31,,Projekt Sortera,David Hävermark,Sortera Group,Croisette,Sweden,Various,,,,,Logistics,"60,506",226,,,,,,,,,,,,1
,2019-04-03,,Sju sekel 1,David Hävermark,Apple,Catella,Sweden,Stockholm,,,,,Other,750,"9,244",,,,,,,,,,,,1
,2019-04-04,,Tabellen 5,Josefin Bergholtz,GreenDoor Fastigheter,Catella,Sweden,Sollentuna,,,,,Residential,"4,682","2,601",,,,,,,,,,,,1
,2019-04-04,,Project Gennaker,Josefin Bergholtz,Bonava,Savills,Sweden,Västerås,,,,,Residential,"8,486","2,186",,,,,,,,,,,,1
,2019-04-05,,Projekt Francks,David Hävermark,Francks kylindustri,Colliers,Sweden,Various,,,,,Various,"5,845",700,,,,,,,,Sale and leaseback,,,,1
,2019-04-05,,Externhandelsportfölj Västsverige,Christian Uddland,NP3,Svefa,Sweden,Various,,,,,Retail,"14,632",902,,,,,,,,,,,,1
,2019-04-12,,Ophelia,Björn Aronsson,Vectura,Catella,Denmark,Copenhagen,,,,,Other,"9,954","1,094",,,,,,,,,,,,1
,2019-04-17,,Polaris Vega,David Repton,,JLL,Finland,Espoo,,,,,Office,"5,926",,,,,,,,,Teaser,,,,1
,2019-04-17,,Project Stefanie,David Repton,PATRIZIA,CBRE,Finland,Espoo,,,,,Office,"3,201",,,,,,,,,Teaser,,,,1
,2019-04-17,,Project Mozart,David Repton,,Advium,Finland,Espoo,,,,,Office,"5,245",,,,,,,,,Teaser,,,,1
,2019-04-17,,Project I9,David Repton,DWS,Newsec,Finland,Helsinki,,,,,Office,"7,100",,,,,,,,,Teaser,,,,1
,2019-04-17,,Hermia 5 & 6,David Repton,,Cobbleyard Real Estate,Finland,Tampere,,,,,Office,"30,300",,,,,,,,,Teaser,,,,1
,2019-04-17,,Project Gateway,David Repton,,JLL,Finland,Various,,,,,Office,"28,900",,,,,,,,,Teaser,,,,1
,2019-04-23,,Sågen 4,Carl Rosén,Terminal Real Estate,Cushman & Wakefield,Sweden,Västerås,,,,,Office,"16,555","1,209",,,,,5.56%,"300,000,000","18,121",,,,,1
,2019-04-24,,Projekt Tingshuset,David Hävermark,Rohan ekonomisk förening,Newsec,Sweden,Uppsala,,,,,Office,"1,343","1,674",,,,,,,,,,,,1
,2019-04-25,,Project Swing,Carl Rosén,Nordea Livförsäkring,Cushman & Wakefield,Sweden,Göteborg,,,,,Retail,"4,091","1,600",,,,,,,,,,,,1
,2019-04-25,,Haninge centrum,Carl Rosén,Grosvenor,Cushman & Wakefield,Sweden,Haninge,,,,,Various,"43,000","2,512",,,,,,,,,,,,1
,2019-04-25,,Drotsen 1,David Hävermark,Eon,Catella,Sweden,Malmö,,,,,Office,"23,273",973,,,,,,,,,,,,1
,2019-04-25,,Danish supermarket portfolio,Björn Aronsson,SG Nordic,Colliers,Denmark,Various,,,,,Retail,"39,705","1,549",,,,,,,,,,,,1
,2019-04-25,,Project Hermes,Björn Aronsson,AP Pension Livsforsikringsselskab,Colliers,Denmark,Various,,,,,Office,"35,629","1,049",,,,,,,,,,,,1
,2019-04-25,,Project Sirius,David Hävermark,Skandia,Savills,Sweden,Uppsala,,,,,Office,"14,711","1,809",,,,,,,,,,,,1
,2019-04-30,,SALT,Josefin Bergholtz,NREP,JLL,Sweden,Nacka,,,,,Various,"10,101","1,573",,,,,,,,,,,,1
,2019-04-30,,Project Trinity,EriK Widmark,Hemsö,Savills,Sweden,Various,,,,,Other,"52,600",,,,,,,"1,200,000,000","22,814",Teaser,,,,1
,2019-05-01,,Projekt Helsing,Josefin Bergholtz,Sjödin Fastigheter,Nordier Property Advisors,Sweden,Various,,,,,Residential,"63,801","1,015",,,,,,,,,,,,1
,2019-05-02,,Project H15,David Repton,CapMan,CBRE,Finland,Helsinki,,,,,Office,"7,881",216,,,,,,,,,,,,1
,2019-05-02,,Södra Porten,David Hävermark,Nyfosa,Savills,Sweden,Mölndal,,,,,Office,"51,602",892,,,,,,,,No IM,,,,1
,2019-05-02,,Project Royal,David Hävermark,Areim,Nordanö,Sweden,Stockholm,,,,,Office,"36,696","5,281",,,,,3.90%,"4,300,000,000","117,179",,,,,1
,2019-05-02,,Librobäck 18:4,Christian Uddland,Pan Libro,Svefa,Sweden,Uppsala,,,,,Industrial,"2,878","2,068",,,,,,,,,,,,1
,2019-05-06,,Metria,Hanna Keberku,Stenhus Fastigheter,JLL,Sweden,Huddinge,,,,,Various,"7,378","1,500",,,,,,,,,,,,1
,2019-05-06,,Project Trio,Annika Fridolf,JM,Newsec,Sweden,Various,,,,,Residential,"24,200",,,,,,,,,Teaser,,,,1
,2019-05-06,,The Mill,Eric Bergström,,Pangea,Sweden,Uppsala,,,,,Office,"6,200",,,,,,,,,Teaser,,,,1
,2019-05-07,,Varberg 1,Josefin Bergholtz,Riksbyggen,Catella,Sweden,Jönköping,,,,,Retail,"3,144","1,059",,,,,,,,,,,,1
,2019-05-07,,Huskvarna centrum,David Hävermark,IMB Holding,Panreal,Sweden,Jönköping,,,,,Retail,"31,800","1,179",,,,,5.37%,"400,000,000","12,579",,,,,1
,2019-05-09,,Project Fortis,David Hävermark,3C Groups,Nordanö,Denmark,Odense,,,,,Logistics,"72,397",485,,,,,,,,,,,,1
,2019-05-10,,Project BOBO,EriK Widmark,Atrium Ljungberg,Savills,Sweden,Stockholm,,,,,Residential,"37,497","1,441",,,,,,,,,,,,1
,2019-05-14,,Kungsbacka,Eric Bergström,Kungsbacka Lastbilscentral,BABA Group,Sweden,Kungsbacka,,,,,Retail,"2,561","1,008",,,,,,,,,,,,1
,2019-05-14,,Fatbursbrunnen 9,Josefin Bergholtz,Private individuals,Catella,Sweden,Stockholm,,,,,Residential,"2,109","1,782",,,,,,,,,,,,1
,2019-05-16,,Studentlägenheter Jönköping,Josefin Bergholtz,Tosito,Catella,Sweden,Jönköping,,,,,Residential,"10,293","1,968",,,,,,,,,,,,1
,2019-05-17,,ICA Maxi JKPG,David Hävermark,CA Fastigheter,Catella,Sweden,Jönköping,,,,,Retail,"10,485","2,182",,,,,,,,,,,,1
,2019-05-20,,Kvarteret Märta,David Hävermark,Länsförsäkringar,Catella,Sweden,Västerås,,,,,Various,"25,196","1,273",,,,,,,,,,,,1
,2019-05-27,,Stattena 7,Eric Bergström,Wihlborgs,Navet,Sweden,Helsingborg,,,,,Various,"9,585","1,050",,,,,,,,,,,,1
,2019-05-27,,Projekt Nobel,Erik Widmark,Blibros,Croisette,Sweden,Karlskoga,,,,,Industrial,"11,043",780,,,,,,,,,,,,1
,2019-06-04,,Projekt Veddesta,Carl Rosén,Profi,Nordier Property Advisors,Sweden,Järfälla,,,,,Industrial,"7,939",982,,,,,,,,,,,,1
,2019-06-04,,Städet 2,Carl Rosén,Divergensia Förvaltnings AB,Colliers,Sweden,Karlstad,,,,,Industrial,"19,089",555,,,,,,,,,,,,1
,2019-06-05,,Project Vault,Hanna Rauhala,OP group & private investor,Cushman & Wakefield,Finland,Various,,,,,Office,"11,659",172,,,,,,,,,,,,1
,2019-06-12,,Konsumenten 2,Eric Bergström,Pefab,Pangea,Sweden,Stockholm,,,,,Various,"17,562","1,832",,,,,,,,,,,,1
,2019-06-13,,Ösby 1:249,Carl Rosén,Private individual,Restate,Sweden,Värmdö,,,,,Industrial,"3,411",,,,,,,,,,,,,1
,2019-06-17,,Corporate presentation,Josefin Bergholtz,BTH Bostad,,Sweden,n.a,,,,,Residential,,,,,,,,,,,,,,1
,2019-06-26,,Amaliegade 44,Björn Aronsson,Freja Ejendomme,Cushman & Wakefield,Sweden,Copenhagen,,,,,Office,"11,812","1,412",,,,,,,,,,,,1
,2019-06-27,,Danaplatsen,David Hävermark,Skärgårdens Byggteknik i Göteborg,A&P,Sweden,Göteborg,,,,,Various,"7,050","2,496",,,,,,,,,,,,1
,2019-06-27,,Primo,Josefin Bergholtz,Riksbyggen,Catella,Sweden,Various,,,,,Residential,"43,857","2,137",,,,,,,,Includes Upplands Väsby and Järfälla,,,,1
,2019-06-27,,The Lion,David Hävermark,Skandia,Catella,Sweden,Stockholm,,,,,Various,"15,295",~2 223,,,,,,,,,,,,1
,2019-06-28,,Förskoleportfölj,Carl Rosén,SISAB,Svefa,Sweden,Stockholm,,,,,Other,"17,687","1,441",,,,,,,,,,,,1
,2019-06-28,,Unik investeringsmöjlighet i Uppsala,David Hävermark,Uppsala kommun,EY,Sweden,Uppsala,,,,,Office,"78,482","1,003",,,,,,,,,,,,1
,2019-07-01,,Lindholmen 1:22,David Hävermark,Serneke,-,Sweden,Göteborg,,,,,Various,"9,814","1,336",,,,,,,,,,,,1
,2019-07-03,,Projekt Viking,Fredrik Salman,Mesta Bygg,Angermann,Sweden,Eskilstuna,,,,,Residential,"7,338",949,,,,,,,,,,,,1
,2019-07-05,,Bostadsportfölj Sollentuna,David Hävermark,Sollentuna Stadshus,Svefa,Sweden,Sollentuna,,,,,Residential,"37,200",-,,,,,,,,,,,,1
,2019-08-14,,Falkonetten 2,Josefin Bergholtz,Forena,Catella,Sweden,Stockholm,,,,,Various,"2,923","1,787",,,,,,,,,,,,1
,2019-08-15,,Udviklingsejendom,Björn Aronsson,Copenhagen municipality,Cushman & Wakefield,Denmark,Copenhagen,,,,,Various,"7,662","1,555",,,,,,,,,,,,1
,2019-08-21,,Weidekampsgade 12-16,Björn Aronsson,Langebro Eiendom,Cushman & Wakefield,Denmark,Copenhagen,,,,,Office,"27,075","1,451",,,,,,,,,,,,1
,2019-08-21,,JV 100,David Hävermark,Profi,Savills,Sweden,Järfälla,,,,,Various,"22,168","1,208",,,,,4.80%,"450,000,000",,"IM NOI 22.8 SEKm, 5,06% yield",,,,1
,2019-08-21,,The Lion,David Hävermark,Skandia,Catella,Sweden,Stockholm,,,,,Residential,"15,295","2,192",,,,,,,,,,,,1
,2019-08-23,,Project Green Lane,Björn Aronsson,Genesta,Colliers,Denmark,Copenhagen,,,,,Office,"31,701","1,532",,,,,,,,,,,,1
,2019-08-23,,Project Zink,Josefin Bergholtz,Cementa,Catella,Sweden,Stockholm,,,,,Other,"41,700",,,,,,,,,,,,,1
,2019-08-24,,Project Amélie,Hanna Rauhala,Amundi,Newsec,Finland,Leppävaara,,,,,Office,"11,014",249,,,,,,,,,,,,1
,2019-08-26,,Tonsbakken 16-18,Björn Aronsson,Private individuals,Cushman & Wakefield,Denmark,Ballerup,,,,,Office,"19,721",646,,,,,,,,,,,,1
,2019-08-29,,Niels Juels Gade 9-13,Björn Aronsson,Gefion Group,Cushman & Wakefield,Denmark,Copenhagen,,,,,Office,"8,589","1,612",,,,,,,,,,,,1
,2019-08-29,,Farvergade 10,Björn Aronsson,Copenhagen municipality,Cushman & Wakefield,Denmark,Copenhagen,,,,,Various,"4,632","1,518",,,,,,,,,,,,1
,2019-08-30,,Södra Änggården,David Hävermark,Platzer,Catella,Sweden,Göteborg,,,,,Development,"9,003","2,735",,,,,,,,,,,,1
,2019-09-04,,Göteborg Backa,Carl Rosén,Blidön maskin,MIKE,Sweden,Göteborg,,,,,Various,"2,200","1,516",,,,,,,,,,,,1
,2019-09-05,,Hilton 4,Josefin Bergholtz,BNP Paribas,Newsec,Sweden,Solna,,,,,Office,"8,795",,,,,,,,,,,,,1
,2019-09-09,,Project Locus,Annika Fridolf,,Cushman & Wakefield,Sweden,Örebro,,,,,Logistics,"47,293",,,,,,,,,,,,,1
,2019-09-10,,Marriott Airport Hotel,Hanna Rauhala,Primehotels,,Finland,Oulu,,,,,Various,,,,,,,,,,,,,,1
,2019-09-10,,Project Filmstaden,Erik Widmark,G.S.S Fastigheter,Nordanö,Sweden,Solna,,,,,Office,"9,406","2,528",,,,,4.83%,"415,000,000",,,,,,1
,2019-09-10,,Project Skywalker,David Hävermark,Coop Butiker & Stormarknader,Swedbank & EY,Sweden,n.a,,,,,Retail,"120,000",,,,,,,,,,,,,1
,2019-09-11,,Project Mercury,Hanna Rauhala,Sponda,CBRE,Finland,Helsinki,,,,,Various,"8,267",678,,,,,,,,,,,,1
,2019-09-11,,Project Crown,Hanna Rauhala,TuMe & Lundén,Aventum,Finland,Turku,,,,,Office,"3,989",157,,,,,,,,,,,,1
,2019-09-16,,Project Koskelo,Hanna Rauhala,Hansainvest,CBRE,Finland,Espoo,,,,,Industrial,"19,471",101,,,,,,,,,,,,1
,2019-09-16,,Projekt Echo,Carl Rosén,JM,Newsec,Sweden,Värmdö,,,,,Various,"2,250","1,216",,,,,,,,,,,,1
,2019-09-18,,Åstorp Hyllinge,David Hävermark,Niam,A&P,Sweden,Helsingborg,,,,,Retail,"22,956",973,,,,,,,,,,,,1
,2019-09-19,,Projekt Skyttbrink,Carl Rosén,Skyttbrink Förvaltning,Croisette,Sweden,Botkyrka,,,,,Other,"6,452",768,,,,,,,,,,,,1
,2019-09-22,,Logistic City Arlanda,David Hävermark,Swedavia,Svefa,Sweden,Sigtuna,,,,,Development,0,,,,,,,,,"Building rights, 90,000 sqm gross area",,,,1
,2019-09-25,,Cirkeln 1,Carl Rosén,Lena Karinen,New Property,Sweden,Huddinge,,,,,Various,"3,702","1,405",,,,,,,,,,,,1
,2019-09-25,,Rälsbussen och Nybruket,David Hävermark,Lantmännen,Catella,Sweden,Various,,,,,Office,"13,959",705,,,,,,,,,,,,1
,2019-09-25,,Resåren 1,David Hävermark,3M Svenska AB,Cushman & Wakefield,Sweden,Sollentuna,,,,,Various,"8,448",,,,,,,,,,,,,1
,2019-09-25,,Project Lint,Björn Aronsson,Rikshem,Nordanö,Sweden,Östersund,,,,,Various,"62,584",983,,,,,,,,Rent includes supplements,,,,1
,2019-09-26,,Sydmarken 5,Björn Aronsson,Thylander Gruppen,CBRE,Denmark,Gladsaxe,,,,,Office,"32,755",642,,,,,,,,,,,,1
,2019-09-27,,Bostadsportfölj Sollentuna,David Hävermark,Sollentuna Stadshus,Svefa,Sweden,Sollentuna,,,,,Residential,"37,222","1,122",,,,,,,,,,,,1
,2019-09-30,,Byholmen 2,David Hävermark,Micasa Fastigheter,Svefa,Sweden,Stockholm,,,,,Various,"11,539","1,300",,,,,,,,,,,,1
,2019-09-30,,NordVäst,David Hävermark,Mälö Fastigheter,TFML,Sweden,Various,,,,,Office,"21,803","1,426",,,,,,,,,,,,1
,2019-10-01,,Viared,David Hävermark,AMA Group,Nordier Property Advisors,Sweden,Borås,,,,,Various,"7,200",660,,,,,,,,,,,,1
,2019-10-02,,Solna United,David Hävermark,Skanska,Catella,Sweden,Solna,,,,,Office,"33,750",,,,,,,,,,,,,1
,2019-10-03,,Project Berg,Björn Aronsson,,CBRE,Sweden,Copenhagen,,,,,Residential,"13,130",,,,,,,,,,,,,1
,2019-10-03,,Malmskogen,Josefin Bergholtz,Riksbyggen,Catella,Sweden,Linköping,,,,,Residential,"6,219","1,139",,,,,,,,,,,,1
,2019-10-03,,Projekt Slakthusområdet,Josefin Bergholtz,Tommy Ögren,Rosengren & Co,Sweden,Stockholm,,,,,Various,"6,771",662,,,,,,,,,,,,1
,2019-10-03,,Vävstolen 1,Josefin Bergholtz,Maelir Fastigheter,Catella,Sweden,Sundsvall,,,,,Retail,"15,923",842,,,,,,,,,,,,1
,2019-10-07,,Project Marienlyst,David Hävermark,NRK,Newsec,Norway,Oslo,,,,,Various,,,,,,,,,,,,,,1
,2019-10-07,,Project Aurora,Hanna Rauhala,"Toivo, Vincea & Tirinom",Newsec,Finland,Oulu,,,,,Office,"6,813",176,,,,,,,,,,,,1
,2019-10-07,,Elektra 20,Josefin Bergholtz,Standarddetaljer AB,Catella,Sweden,Stockholm,,,,,Office,"5,686","1,487",,,,,,,,,,,,1
,2019-10-09,,Project Atrium,Björn Aronsson,Deloitte,Colliers,Denmark,Copenhagen,,,,,Office,"40,717","1,355",,,,,,,,,,,,1
,2019-10-09,,Jämtland 2,Carl Rosén,Fastighetsbolaget Råå 1 &2,Colliers,Sweden,Helsingborg,,,,,Various,"11,324",,,,,,,,,,,,,1
,2019-10-09,,Hillebarden 3,Carl Rosén,OH Hillebarden,Colliers,Sweden,Helsingborg,,,,,Office,"2,391",,,,,,,,,,,,,1
,2019-10-09,,Bronsen 1,Carl Rosén,Sagax,Colliers,Sweden,Helsingborg,,,,,Various,"7,896",,,,,,,,,,,,,1
,2019-10-09,,Landbyska Verket 8&9,David Hävermark,Midroc,Nordanö,Sweden,Stockholm,,,,,Various,"11,979","5,478",,,,,,,,,,,,1
,2019-10-09,,Briggen,David Hävermark,Imperia Fastigheter,Catella,Sweden,Västerås,,,,,Other,"5,003",737,,,,,,,,,,,,1
,2019-10-10,,Söderport,Fredrik Salman,Grundingen,Angermann,Sweden,Norrköping,,,,,Retail,"5,591","1,707",,,,,4.17%,"240,000,000","42,926",,,,,1
,2019-10-10,,Storlien Högfjällshotell,Carl Rosén,Storlien Högfjällshotell AB,Colliers,Sweden,Åre,,,,,Hotel,"8,000",,,,,,,,,,,,,1
,2019-10-15,,Offentlig auktion,David Hävermark,Setterwalls,Catella,Sweden,Malmö,,,,,Office,"24,571",,,,,,,,,,,,,1
,2019-10-16,,Project Bullseye,David Hävermark,Husqvarna,CBRE,Sweden,Jönköping,,,,,Various,"53,979",414,,,,,,,,,,,,1
,2019-10-17,,Project Champion,Hanna Rauhala,Logicor,Cushman & Wakefield,Finland,Various,,,,,Various,"52,358",53,,,,,,,,,,,,1
,2019-10-18,,Ljusbågen 8,Carl Rosén,Sölö Holding,New Property,Sweden,Eskilstuna,,,,,Industrial,"5,900",600,,,,,,,,,,,,1
,2019-10-18,,Solna United,David Hävermark,Skanska,Catella,Sweden,Solna,,,,,Office,"33,879","3,253",,,,,,,,,,,,1
,2019-10-22,,Vinkelhaken,Tomas Rockström,Randviken,RVM,Sweden,Eskilstuna,,,,,Various,"2,529","1,838",,,,,,,,,,,,1
,2019-10-22,,Vagnmakaren,Tomas Rockström,Randviken,RVM,Sweden,Eskilstuna,,,,,Office,"2,386","1,906",,,,,,,,,,,,1
,2019-10-23,,Project Michael,David Hävermark,,Newsec,Lithuania,Vilnius,,,,,Office,"12,690",,,,,,,,,,,,,1
,2019-10-25,,Björnen 10,Josefin Bergholtz,Lundberg,A&P,Sweden,Jönköping,,,,,Residential,"2,714","1,023",,,,,,,,,,,,1
,2019-10-25,,Laxen 10,Josefin Bergholtz,Lundberg,A&P,Sweden,Jönköping,,,,,Residential,"2,856","1,014",,,,,,,,,,,,1
,2019-10-25,,Bromma Sjukhus (Alva),Josefin Bergholtz,Stockholms läns landsting,JLL,Sweden,Stockholm,,,,,Other,"22,000","2,350",,,,,,,,,,,,1
,2019-10-25,,Project Phoenix,Hanna Rauhala,UBS (ECH),CBRE,Finland,Vantaa,,,,,Various,"27,094",112,,,,,,,,,,,,1
,2019-10-28,,Project Dalton,Hanna Rauhala,Areim,CBRE,Finland,Various,,,,,Office,"49,876",157,,,,,,,,,,,,1
,2019-10-29,,Project Gasklockan,Josefin Bergholtz,Oscar Properties (Stockholm stad),,Sweden,Stockholm,,,,,Residential,"31,547",,,,,,,,,,,,,1
,2019-10-30,,Lastberget,Björn Aronsson,Fackförbundet SEKO,Cushman & Wakefield,Sweden,Håbo,,,,,Hotel,"9,116",165,,,,,,,,,,,,1
,2019-11-01,,Project Berg,Björn Aronsson,Carlsberg,CBRE,Denmark,Copenhagen,,,,,Residential,"13,201","2,114",,,,,,,,,,,,1
,2019-11-01,,Project Anthem,Hanna Rauhala,Schroder,Advium,Finland,Helsinki,,,,,Office,"13,136",269,,,,,,,,,,,,1
,2019-11-05,,Havsfrun 11,Carl Rosén,Familjen Åkestam,Cushman & Wakefield,Sweden,Stockholm,,,,,Residential,"3,371","1,101",,,,,,,,,,,,1
,2019-11-08,,Projekt Indutech,Carl Rosén,Karlskoga industrifastigheter,Colliers,Sweden,Various,,,,,Industrial,"100,000",378,,,,,,,,,,,,1
,2019-11-08,,Project Air,Carl Rosén,Air Liquide Gas,Newsec,Sweden,Upplands-bro,,,,,Various,"1,525",550,,,,,,,,,,,,1
,2019-11-13,,Hyllinge 1:8,David Hävermark,Thon,A&P,Sweden,Åstorp,,,,,Various,0,0,,,,,,,,,,,,1
,2019-11-14,,Projekt Metal,Eric Bergström,Mabro Fastigheter,Nordier Property Advisors,Sweden,Linköping,,,,,Office,"19,017","1,196",,,,,5.50%,"345,000,000","18,142",,,,,1
,2019-11-15,,Stockholm Office Opportunity,Patrik Andersson,,JLL,Sweden,Stockholm,,,,,Office,"11,286","2,000",,,,,,,,,,,,1
,2019-11-18,,Project Eden,Björn Aronsson,Boll+,CBRE,Denmark,Copenhagen,,,,,Various,"4,035",,,,,,,,,,,,,1
,2019-11-19,,Dyarne 5:98,Carl Rosén,EssLab Fastigheter,Rosengren & Co,Sweden,Håbo,,,,,Development,"2,381",884,,,,,,,,,,,,1
,2019-11-21,,Project Bike,Carl Rosén,Uppsala kommun,EY,Sweden,Uppsala,,,,,Various,"23,660","1,772",,,,,~3%,"711,600,000","30,076",,,,,1
,2019-11-21,,Project Steam,Carl Rosén,Uppsala kommun,EY,Sweden,Uppsala,,,,,Various,"52,491","1,041",,,,,5.70%,"611,000,000","11,640",,,,,1
,2019-11-25,,Logistic City Arlanda,David Hävermark,Swedavia,Svefa,Sweden,Sigtuna,,,,,Development,0,,,,,,,,,"Building rights, 90,000 sqm gross area",,,,1
,2019-11-25,,K12,David Hävermark,NCC,Savills,Sweden,Solna,,,,,Office,"19,777","3,494",,,,,,"1,540,000,000","77,868",Sold to FastPartner 25/11/2019,,,,1
,2019-11-28,,Project HAWK,David Hävermark,Logistea,Savills,Sweden,Landskrona,,,,,Logistics,"45,086",934,,,,,,,,,,,,1
,2019-12-02,,Glentevej,Björn Aronsson,,Savills/Nordicals,Denmark,Copenhagen,,,,,Office,"19,332",,,,,,,,,,,,,1
,2019-12-02,,Nordre Fasanvej,Björn Aronsson,,Rubik,Denmark,Copenhagen,,,,,Office,"5,359",,,,,,,,,,,,,1
,2019-12-03,,Project Träbjälken,David Hävermark,,Landsort,Sweden,Sollentuna,,,,,Residential,"3,988",,,,,,,,,,,,,1
,2019-12-06,,Project Plus,Eric Bergström,Wästbygg,Cushman & Wakefield,Sweden,Various,,,,,Logistics,"67,460",559,,,,,,,,Kalmar,,,,1
,2019-12-09,,Projekt Sunnanå,Carl Rosén,Arlöv Sunnanå 11:2,Croisette,Sweden,Burlöv,,,,,Industrial,"2,458",867,,,,,,,,,,,,1
,2019-12-12,,Bokoop,Josefin Bergholtz,Bokoop Fastigheter,Cushman & Wakefield,Sweden,Nykvarn,,,,,Residential,"5,312","1,802",,,,,,,,Base rent 1930 excl. subsidies,,,,1
,2019-12-12,,Riverside,Josefin Bergholtz,Niam,CBRE,Sweden,Stockholm,,,,,Residential,,,,,,,,,,,,,,1
,2019-12-12,,Project Rock,Josefin Bergholtz,VE Sten,CBRE,Sweden,Vällingby,,,,,Various,"1,360",,,,,,,,,,,,,1
,2019-12-13,,Project River,Annika Fridolf,Bane NOR Eiendom,Pangea,Norway,Drammen,,,,,Various,"26,460","2,237",,,,,,,,,,,,1
,2019-12-13,,Repslagaren 13,David Hävermark,Klara Norra Fastigheter,Cushman & Wakefield,Sweden,Stockholm,,,,,Office,"6,196","5,210",,,,,,,,,,,,1
,2019-12-13,,Ferrum Sundsvall,Carl Rosén,Mercada,Cushman & Wakefield,Sweden,Sundsvall,,,,,Retail,"8,575",621,,,,,,,,,,,,1
,2019-12-13,,Ferrum Uppsala,Carl Rosén,Mercada,Cushman & Wakefield,Sweden,Uppsala,,,,,Retail,"11,313",628,,,,,,,,,,,,1
,2019-12-20,,Project Newton,David Hävermark,,Cushman & Wakefield,Sweden,Lund,,,,,Hotel,"10,270",,,,,,,,,,,,,1
,2019-12-20,,Tangenten 2,David Hävermark,BBKS ,Cushman & Wakefield,Sweden,Malmö,,,,,Various,"15,325",,,,,,,,,,,,,1
,2019-12-20,,Road Runner,David Hävermark,Sveterm,CBRE,Sweden,Norrköping,,,,,Logistics,"122,000",,,,,,,,,,,,,1
,2019-12-20,,Project Slightly Different,Tomas Rockström,Host Millenuim Oslo AS & Host Atlantica Ålesund AS,Realkapital finans,Norway,Various,,,,,Hotel,"14,142","2,264",,,,,,,,,,,,1
,2019-12-20,,BBQ,David Hävermark,Klockarbäcken Property Investment,Catella,Sweden,Vaggeryd,,,,,Logistics,"14,647",424,,,,,,,,,,,,1
,2019-12-23,,Sierra-2,David Hävermark,Lone Star,CBRE,Sweden,Mixed,,,,,Retail,"272,135",43,,,,,,,,,,,,1
,2020-01-07,,IBM Brondeby,David Hävermark,IBM,,Denmark,Brøndby,,,,,Office,"19,654","1,505",,,,,,,,,,,,1
,2020-01-07,,Prism Portfolio,Eric Bergström,Nordea Livförsäkring,JLL,Sweden,Linköping,,,,,Various,"21,698",938,,,,,,,,,,,,1
,2020-01-08,,Project VA,Björn Aronsson,Private individuals,Nordicals,Denmark,Copenhagen,,,,,Various,"17,098","1,124",,,,,,,,,,,,1
,2020-01-08,,Royal Design,Eric Bergström,E-Commerce Warehouse Solutions,Nordier Property Advisors,Sweden,Nybro,,,,,Office,"20,000",420,,,,,,,,,,,,1
,2020-01-09,,Eskil,Josefin Bergholtz,Eskilstuna kommun,Catella,Sweden,Eskilstuna,,,,,Various,"49,344","1,100",,,,,,,,,,,,1
,2020-01-13,,Industriparken 22 A&B,Björn Aronsson,Dades,Colliers,Denmark,Ballerup,,,,,Various,"6,371",449,,,,,,,,,,,,1
,2020-01-13,,Metalbuen 12-20,Björn Aronsson,Dades,Colliers,Denmark,Ballerup,,,,,Office,"11,800",395,,,,,,,,,,,,1
,2020-01-13,,Stamholmen 193,Björn Aronsson,Dades,Colliers,Denmark,Hvidore,,,,,Various,"15,585",459,,,,,,,,,,,,1
,2020-01-13,,Nymøllevej 78,Björn Aronsson,LP Erhvervsejendomme,Colliers,Denmark,Lyngby,,,,,Office,"7,310",520,,,,,,,,,,,,1
,2020-01-13,,Danish office and industrial portfolio,Björn Aronsson,Danish office and industrial portfolio,Colliers,Denmark,Various,,,,,Office,"8,831","1,169",,,,,,,,,,,,1
,2020-01-13,,Rødovre,Björn Aronsson,3C Sjælland,Colliers,Denmark,Rødovre,,,,,Various,"15,884",450,,,,,,,,,,,,1
,2020-01-15,,Project Plural,Björn Aronsson,,Nordicals,Denmark,Köpenhamn,,,,,Office,,,,,,,,,,,,,,1
,2020-01-15,,Interfrukt,Tomas Rockström,Regnbyen Syd Holding / Interfrukt,Malling & Co,Norway,Ski,,,,,Logistics,"21,042","1,389",,,,,,,,,,,,1
,2020-01-17,,Project Freda,Hanna Rauhala,,Cushman & Wakefield,Finland,Helsinki,,,,,Office,"3,669",277,,,,,,,,,,,,1
,2020-01-17,,Centrumportfölj Jkpg,David Hävermark,Nivika,A&P,Sweden,Jönköping,,,,,Various,"4,068","2,109",,,,,,,,,,,,1
,2020-01-17,,Solåsen,David Hävermark,Nivika,A&P,Sweden,Jönköping,,,,,Office,"8,200","1,527",,,,,,,,,,,,1
,2020-01-20,,PH Park,Björn Aronsson,Calum,Cushman & Wakefield,Denmark,Horsholm,,,,,Residential,"21,096","1,733",,,,,,,,,,,,1
