Country,Timing,,,,,,Property Information,,,,,,,,Description
,Week nr.,Date received,Project name,Recieved by,Seller,Location,Use,"Leasable area, sqm","Base rent incl. index, CCY/sqm","NOI, CCY","WAULT, years","Economic occupancy rate, %","Deal value, MCCY",Yield,Comment 
Sweden,39,2025/09/26,Portfolio Stark,Josefin Bergholtz,,Various,Residential,"3,535","1,603",-,-,-,-,-,"Four residential properties in Ulvsunda, Bromma totaling 70 apartments and 3,535 sqm lettable. Estimated rental value 5.7m SEK (2025), avg. 1,603 SEK/sqm. Attractive location near metro and city, with succession renovation and attic development potential."
Sweden,39,2025/09/26,Portfolio Bell,Josefin Bergholtz,,Various,Residential,"11,835","2,156",-,-,-,-,-,"Residential portfolio of 294 apartments + 2 preschools across Spånga, Bromma, Tullinge. Total lettable 11,835 sqm, estimated rental value 25.5m SEK (2025). Well-situated in calm residential areas with proximity to services and transport."
Sweden,40,2025/09/29,Project Rocky (2),Carl Rosén,,Various,Mix Use,"31,970","2,595",-,-,-,-,-,"Value-add office portfolio of three assets in Västberga (~32,000 sqm). Rental value ~83m SEK with office (73%), retail, restaurant, storage uses. 4 km from Stockholm CBD with strong transport links. Significant upside from lease-up and reversion."
Sweden,40,2025/09/29,Project Piper (2),Carl Rosén,NREP NSF IV ,Stockholm,Hotel,"17,617","5,561","5,470",10,100%,-,-,"Prime Stockholm CBD hotel investment: Clarion Hotel Amaranten, 461 rooms, fully let to Strawberry on long lease expiring 2035. Includes Brödernas restaurant, garage (47 spaces), and telecom tenants. Recently refurbished with ESG upgrades identified to improve EPC from E to B. Base rent reflects an assumed 2026 rental level."
Denmark,40,2025/09/30,Project Glacier,Kristina Alderin,,Ishøj,Residential,"9,586","2,163","1,863",-,-,-,-,Turnkey residential development in Ishøj (Greater Copenhagen) with 142 units (avg. 68 sqm) and 142 parking spaces (85 underground). Expected delivery Q1 2027. DGNB Gold certification targeted. Estimated NOI ~17.9m DKK.
Finland,40,2025/10/01,Liminka Production Facility,Mathias Vuorelma,JTJ Kasvu Oy,Liminka,Industrial,"6,036",89,-,10,100%,-,-,"Modern industrial production facility built in 2000 and extended in 2023, fully let to Hawo Suomi Oy on a long-term CPI-indexed lease (~10 yrs remaining). Annual rent ~540k EUR (~90 EUR/sqm). Energy class A, total heated net area 4,803 sqm. Strategic location in Liminka, Oulu region, with strong tenant covenant supported by growing Nordic demand for Hawo’s modular timber construction solutions."
Sweden,40,2025/10/01,Projekt Vildrosen,David Hävermark,K-Fast Vildrosen AB,Various,Residential,"9,723","2,201","1,919",8,100%,-,-,"Newly built (2023–2025) residential scheme with 125 apartments and two stable commercial tenants (Praktikertjänst, Apoteket). Located in Önsta-Gryta, Västerås with strong demographics and modern energy-efficient buildings."
Multiple,40,2025/10/01,Project Hercules (2),David Hävermark,Harmony Energy Limited,Various,Energy storage,-,-,-,-,-,-,-,"Pan-European BESS platform with ~12GW pipeline, including operational, under-construction, and shovel-ready assets. Raising £350m equity to support expansion of BESS platform"
Sweden,40,2025/10/01,Projekt Volt,Carl Rosén,Månsbro Fastigheter AB,Various,Industrial,"7,436",-,849,-,100%,-,-,"Fully let light-industrial properties in Södertälje, leased to Scania. NOI 6.3m SEK, lettable area 7,436 sqm. Built 1977 with 2002 extension. Development potential through higher zoning allowance."
Finland,40,2025/10/02,Project Leo,Mathias Vuorelma,,Tampere,Industrial,"2,700",-,114,4,95%,-,-,"Light industrial / logistics property in Tampere’s Lahdesjärvi area with 2,700 sqm lettable space. Built 2004 with 2019 extension, 9 loading doors, 5 m clear height, geothermal heating and solar panels. Stable tenants and strong accessibility near E12/E63."
Sweden,40,2025/10/02,Project Signal,Annika Fridolf,Elisby Fastigheter AB,Nynäshamn,Retail,"29,707","1,630",997,6,86%,-,-,"Grocery-anchored retail centre “Sjötelegrafen” in Nynäshamn with ICA Maxi, Rusta, Dollarstore, Normal & Jysk. 45 tenants, 44,978 sqm land plot. Adjacent to Sweden’s 5th largest harbour with future MAX Burgers site and asset-management upside."
Sweden,40,2025/10/02,Everyday Portfolio,David Hävermark,Not stated,Various,Retail,"72,557",-,-,6,100%,-,-,"Modern 16-asset grocery and discount retail portfolio across Sweden totaling 72,557 sqm, 93% of income from food and discount tenants. WAULT 6.4 years, fully let, GRI 111m SEK. Anchored by Coop, Rusta, Willys, Dollarstore, Jysk, and others. High ESG standards with newly built assets along key transport corridors (E4, E6, E20, E22)."
Sweden,40,2025/10/02,Slottshallen,Albin Östmarck,Slottsgripen AB,Täby,Commercial,"2,591","2,905","2,470",6,100%,-,-,"Fully let gym and sports property leased to SATS Sports Club Sweden AB under a 10-year contract (since 2022). Modernized 2021–22 with geothermal heating, new ventilation, and 73 parking spaces. Located in Täby’s Näsby Slottspark, a fast-growing residential area north of Stockholm."
Sweden,40,2025/10/03,Sisjö Entré (2),Carl Rosén,Union Investment Institutional Property GmbH,Gothenburg,Retail,"14,950","2,039","1,874",4,98%,-,-,"Discount retail-anchored property in Gothenburg’s strongest retail area, Sisjön. 16 tenants including Rusta, XXL, and Arken Zoo, generating GRI of 36.9m SEK and NOI of 28.0m SEK (2026). Prime visibility, ~450 parking spaces, energy class E, and significant tenant reinvestment (SEK 31m since 2019)."
Denmark,40,2025/10/03,Project Atriet,Kristina Alderin,Nordstern Projekt ApS & Fredensborg 32 AS,Copenhagen,Residential,"6,681","2,544","2,147",-,-,-,-,"Newly built micro-living project comprising 206 units across 6,681 sqm in Copenhagen. Developed by Nordstern & Fredensborg JV. Gross rental income expected ~23m DKK with NOI ~20.2m DKK upon stabilisation. Energy-efficient (28.7 kWh/m²), 34% rent reversion potential, and strong student housing demand."
Sweden,41,2025/10/06,Project Signalisten,Josefin Bergholtz,Maelir Fastigheter Holding AB,Västerås,Residential,"4,182","1,750","1,500",4,100%,-,-,"Fully let to Migrationsverket under a four-year lease (from Sep 2024). Newly renovated 2022–2024 with 122 rooms, modern amenities, and FTX ventilation. Located next to E18 and Västerås Airport. NOI 6.3m SEK (2025), low OpEx, simple single-tenant operation."
Sweden,41,2025/10/06,Project Parfymfabriken,Josefin Bergholtz,ExNord Tappsund AB,Ekerö,Development,"17,000",-,-,-,-,-,-,"Large-scale residential development opportunity on 39,860 sqm plot in Ekerö. Estimated 45,000–65,000 sqm BTA under new zoning. Owned by ExNord Tappsund AB, plan process currently paused. Valuation basis c. 2,000–2,500 SEK/sqm buildable area."
Denmark,41,2025/10/07,DK Residential Portfolio,Kristina Alderin,North82,Various,Residential,"33,598",-,"1,098",-,-,767,4.8%,"Portfolio of 419 newly built residential units across 7 locations in Jutland and Funen, built 2023–2024. Fully let modern housing stock with energy-efficient systems (fjernvarme, varmepumper). Total value 767m DKK and average unit sizes 69–126 sqm. Strong regional tenant base."
Denmark,41,2025/10/07,Project Delta (3),Anthony Romano,City Property Holding A/S,Vallensbæk,Residential,"9,466","1,447","1,201",-,-,-,-,"Fully let 96-unit residential property built 2007 by NCC, EPC A2010. Located next to Delta Park Station (light rail) with 96 parking spaces. Strong rent reversion and privatisation potential, in-place NOI DKK 11.4m, optimised NOI DKK 14.0m. Managed by City Property Holding A/S with stable occupancy and low churn."
Finland,41,2025/10/07,Project Kannel,Mathias Vuorelma,OP Financial Group,Vantaa,Retail,"8,966",-,156,2,91%,-,-,"Modern retail property in Vantaa’s Tammisto retail hub with 8,966 sqm leasable area. Fully refurbished and extended in 2007, freehold plot with high visibility and 450+ parking spaces. Tenants include daily goods and listed brands. Equipped with solar panels and sustainable energy systems."
Finland,41,2025/10/07,Project Alto,Mathias Vuorelma,OP-Vuokratuotto & Real Estate Fund Finland III Ky,Tampere,Public Use,"19,330",-,166,8,97%,-,-,"Large healthcare and social services facility in Tampere anchored by Pirkanmaa Wellbeing Services County (95% income share). Refurbished 2016–2022 with EUR 17 m invested. WAULT 8.1 years, NOI EUR 3.2 m, 97% occupancy, freehold title. Strategic southern Tampere location with long public lease stability."
Sweden,41,2025/10/08,Project Drive,Albin Östmarck,M & O Olofsson Holding AB,Various,Light industrial,"18,077","1,553","1,411",8,96%,-,-,"Six-property light industrial portfolio south of Stockholm anchored by Bilia AB (92% of rent). 18,077 sqm lettable area, NOI SEK 25.5m (fully let estimate), WAULT 7.9 years, 96% occupancy. Strong ESG and solar upgrades, located along National Road 73 with redevelopment potential in Albyberg."
Sweden,41,2025/10/08,Tvärvägen 2–5,Filip Gustavsson,,Various,Residential,"4,375","1,920",-,-,69%,220,-,"Two adjacent residential buildings in Solna with 75 apartments (4,375 sqm), of which 24 units (1,356 sqm) are vacant or short-term let. Annual rent income 8.4m SEK (2025). Begärt pris 220m SEK. Heating via fjärrvärme, 2-glass windows, new electrical systems, ventilation via mechanical exhaust. Built with solid structure; maintenance upgrades completed between 2007–2018."
Sweden,41,2025/10/08,Project Alice (3),Carl Rosén,Nystad Stockholm AB,Stockholm,Public Use,"17,599","3,174","3,066",19,100%,-,-,"Newly built Miljöbyggnad Guld–certified education and sports complex in Liljeholmen/Midsommarkransen, Stockholm. Anchored by Internationella Engelska Skolan (IES) and City of Stockholm on 20-year CPI-indexed leases (exp. 2044). Leasehold, next ground rent renegotiation 2032."
Denmark,41,2025/10/09,Vigerslev Stationstorv (2),Kristina Alderin,RSP Partnership A/S,Copenhagen,Mixed-use,"22,069","2,596","1,711",-,-,-,-,"Large mixed-use development project adjacent to Vigerslev Allé Station in Valby, Copenhagen. 22,100 sqm total including 7,550 sqm family housing, 6,050 sqm student housing, 5,550 sqm elderly care (VIBO), and 2,950 sqm retail pre-let to Rema 1000 & another supermarket on 15-year leases. Lokalplan 638 approved Oct 2024. Completion targeted 2028."
Denmark,41,2025/10/09,Vanløse,Kristina Alderin,Flemming Fenger,Copenhagen,Residential,"18,000","2,800","12,492",-,100%,200,112.4%,"Mixed-use development project in Vanløse comprising hotel (6,000 sqm), serviced apartments, retail, restaurant, and fitness (total GLA 18,000 sqm). Development cost ~628.5m DKK, projected NOI 224.8m DKK, profit margin 34.1%. Scenario C indicates ~2,800 DKK/sqm rents with 5.0% yield. Strategically located in central Vanløse near metro and strong residential base."
Sweden,41,2025/10/10,Bjurbäcken 8,Filip Gustavsson,KJ Holding AB,Stockholm,Residential,"2,681","1,932","1,440",-,-,-,-,"Three-storey 1958 residential property on leasehold plot (3 681 sqm) with 34 flats and 6 small commercial units. 24 apartments vacant for new owner after renovation (2025). Total rent SEK 5.2 m, NOI SEK 3.9 m."
Sweden,41,2025/10/10,The Queen,Josefin Bergholtz,JM AB,Upplands Väsby,Residential,"3,762",-,"2,762",-,-,217,4.8%,"Nordic Swan eco-certified rental scheme with 71 apartments and 2 commercial units and 37 parking spaces in Upplands Väsby. Lettable area 3 762 sqm, expected completion Q4 2027. Forecast NOI SEK 10.4 m (2 762 SEK/sqm) based on 2027 estimates. Yield of 4.8% for forward purchase."
Sweden,41,2025/10/10,Hexa Portfolio,Carl Rosén,DSV,Various,Logistics,"126,143","1,053","1,039",10,98%,-,-,"National portfolio of six modern industrial and logistics assets in southern and central Sweden. Tenants include DHL, Bring and PostNord. Strong ESG profile with solar installations and new-build standards."
Denmark,42,2025/10/14,Matricon JV Portfolio,Kristina Alderin,Matricon A/S,Various,Residential,"97,410",-,-,-,-,-,-,"Portfolio of seven planned residential projects (all rowhouses) across Greater Copenhagen totaling ~1,096 homes and ~97,000 sqm building rights. No social housing component planned. JV model: capital partner funds land and construction."
Denmark,42,2025/10/14,Parkvejens Oase,Kristina Alderin,Genre Real Estate,Various,Residential,"19,846",-,-,-,-,-,-,"Large-scale DGNB Gold-certified residential development in Næstved comprising 277 units (~71 sqm avg.), incl. senior housing, townhouses, and apartments. Land area 56,703 sqm, building rights 19,846 sqm. Building permit secured; revised version under review (8 weeks processing). Mix of family, student, and senior living with shared amenities. Construction 15–24 months with staged delivery."
Sweden,42,2025/10/15,Havssvalget 20,Filip Gustavsson,SH Pension Tjänstepensionsförening,Stockholm,Mixed-use,"4,319","2,457",971,-,80%,-,-,"Historic 1906 building in prime Östermalm location comprising 28 apartments, 5 offices, 3 retail units, 1 hotel (Pärlan), and 5 storages. Current rent SEK 8.1m (1,865 SEK/sqm); potential rent SEK 10.6m. NOI SEK 4.2m current, SEK 6.7m fully let. Excellent location near Östermalmstorg with long-term value-add potential through lease-up and minor upgrades."
Sweden,42,2025/10/16,Everyday Portfolio (2),Johan Onsjö,Fastena Livsmedelsfastigheter AB (subsidiaries under Midco 1),Various,Retail,"72,557","1,402","1,329",6,100%,-,-,"Institutional-grade Swedish grocery and discount retail portfolio with 16 fully let assets totaling 72,557 sqm. Tenants include Coop, Willys, Rusta, Dollarstore, Jysk, and Jula. WAULT 6.4 years, GRI 112m SEK, NOI 96m SEK (2026). 93% of income from grocery/discount retailers. Modern buildings (2018–2025) with ESG upgrades; 80% EPC A–C. Located along E4, E6, E20, E22 corridors in strong regional retail hubs."
Sweden,42,2025/10/16,Säby Kanalpark (2),Josefin Bergholtz,Bimery Holding AB,Various,Mixed Use,"11,789","2,299","1,340",-,99%,-,-,"Large-scale redevelopment project in Åkersberga comprising future residential building rights (~70,000 sqm BTA: 65,000 residential, 5,000 commercial) on 44,214 sqm land. Current cash flow of 15.8 m SEK/year from 40 tenants incl. SL Bussdepån (anchor), Nordiska Pump & Avloppsteknik AB, and Österåker Municipality. Planning in early phase with municipal forstudie approved April 2025; existing 11,780 sqm lettable industrial area at 98% occupancy. "
Denmark,42,2025/10/16,Project Anchor (3),Anthony Romano,Birch Ejendomme,Various,Residential,"71,794","1,551",-,-,100%,-,-,"Institutional-scale forward purchase residential portfolio totalling 71,794 sqm / 974 units across five Danish growth cities (Horsens, Aarhus, Ballerup, Ringsted, Køge). Estimated NOI DKK 95.7m. Balanced exposure between standing and pipeline assets: 3/11 assets (≈28,000 sqm) completed and fully let, remaining under construction until 2027. Average unit size 73.7 sqm."
Denmark,42,2025/10/17,Lautrupvang 6,Anthony Romano,Velliv Ejendomsinvestering P/S,Ballerup,Office,"16,160",985,991,4,100%,-,-,"Single-tenant office property located in Ballerup. Let to Atea Danmark A/S on a lease with 4 years unexpired term (since 2013). GLA 16,160 sqm including 13,792 sqm office and 2,368 sqm secondary areas. Modern facilities, EPC A2010, 380 parking spaces, and solar panels producing 161,000 kWh annually."
Sweden,43,2025/10/20,Projekt Kompass,Albin Östmarck,Staven Holding AB,Sollentuna,Industrial,"6,141","1,329",985,-,96%,110,5.5%,"Strategically located light industrial property in Sollentuna, close to E4. Built 1973–85, 6,141 sqm lettable area with 15 tenants. Main tenant Bilskadecenter Sollentuna AB (Werksta Group) accounts for 56% of rent. NOI SEK 6.0m (985 SEK/sqm). 5.5 m ceiling height, 99 parking spaces, 4% vacancy. Includes building right of ~4,000 sqm BTA with 10 m height allowance. "
Finland,43,2025/10/20,Project Vion,Mathias Vuorelma,,Hyvinkää,Retail,"4,600",163,130,5,100%,-,-,"Big-box retail property centrally located in Hyvinkää. Built 1985, EPC C. Fully let to Power (electronics), Hyria Foundation, and Kesko (grocery). NOI €0.6m from €0.75m GRI, WAULT 5 years. Attractive location and strong tenant mix with public and AA-rated covenants. City plan allows grocery use and further flexibility for retail redevelopment."
Sweden,43,2025/10/20,Project Pastell,Filip Gustavsson,,Stockholm,Mixed-use,"2,629","2,358","2,016",-,100%,-,-,"Mixed-use residential and retail property (1,371 sqm residential, 1,258 sqm commercial) in Tyresö Strand comprising 18 apartments and one Coop grocery store (lease until March 2028). Built 2003 by HSB, EPC B. Estimated 2026 NOI ~5.3m SEK on rent value ~6.2m SEK. Option to convert 3 attics into 28–30 sqm studio apartments."
Denmark,43,2025/10/21,Project Blue Village,Kristina Alderin,Lyngby Stadion & Venner ApS,Lyngby-Taarbæk,Residential,"12,152","2,634","2,234",-,-,-,-,"Forward development comprising 227 residential units (185 student housing, 42 flats) and a 1,504 sqm healthcare facility pre-let to Lyngby-Taarbæk Municipality on a 15-year NPI-indexed lease. Total GLA 12,152 sqm plus 81 parking spaces. Expected completion Dec-2028, gross rent DKK 32.0 m and NOI DKK 27.1 m (≈2,234 DKK/sqm). Located next to Lyngby Stadium, within the “Five-Finger Plan” corridor and near DTU University."
Sweden,43,2025/10/21,Project Progression,Antony Pastiroff,Profuragruppen AB,Upplands-Bro,Retail,"15,208","1,704","1,478",9,100%,375,6.0%,"Newly built (2025) prime retail park in Bro, anchored by strong grocery and discount tenants (Willys, Lidl, Rusta, Dollarstore, Apotek, Stadium Outlet, Normal). Yield of 6%. 88% of space food/discount retail with 425 parking spaces and 13 loading docks. Development includes land lease to IONITY for EV charging and Bauer Media for signage. Located along E18 with catchment of 1 million within 30 minutes, population growth +30% (2014–2024)."
Denmark,43,2025/10/21,Project Hummingbird,Anthony Romano,Carlsberg Danmark A/S,Høje-Taastrup,Industrial,"38,865",801,671,-,83%,-,-,"Prime last-mile logistics and distribution facility built in 1999. Currently 32% let to Carlsberg Danmark A/S, 51% to PostNord A/S (lease ends March 2026), and 17% vacant. Annual NOI DKK 26.1m (DKK 671/sqm net). 45 loading docks, 46,000 sqm IOS, direct rail access, and 7.7 m ceiling height. Potential for redevelopment or re-leasing post-2026. Sale structured as asset deal."
Denmark,43,2025/10/22,HighBrook Industrial Portfolio,Anthony Romano,HighBrook Investment Management,Various,Industrial,"169,666",555,-,3,96%,-,-,"Institutional Danish light-industrial and logistics portfolio of 18 assets totalling 169,666 sqm. 58% light industrial, 33% hub logistics, and 9% other. WAULT 2.8 years, 96% occupancy. In-place rent DKK 90.1 m (555 DKK/sqm), ERV DKK 106.5 m (628 DKK/sqm). 35% EPC A, 19% office area. Key tenants include Atea, Bestseller, DK Company, NTG Road, Broste and Fiskars. "
Sweden,43,2025/10/22,Project Rebel,Josefin Bergholtz,Catorna AB,Ängelholm,Industrial,"11,512","1,133","1,079",4,100%,-,-,"Modern single-tenant logistics and HQ facility built 2014 with expansions 2018 & 2021 for Båstadgruppen AB. GLA 11,512 sqm on 47,528 sqm plot, freehold. 10.5 m clear height, 8 loading docks, solar panels (1,500 sqm), and new zoning plan (Sept 2025) allowing +5,500 sqm expansion. Strategic location along E6/E20 motorway near Helsingborg logistics cluster."
Denmark,43,2025/10/22,Project Vonsild,Kristina Alderin,Bennu Development ApS,Kolding,Residential,"15,721","1,309","1,145",-,100%,-,-,"Newly constructed build-to-rent residential development of 149 terraced houses totalling 15,721 sqm (averaging 106 sqm per unit), developed by Bennu Development ApS. Phase 1.1–1.3 completion expected Q4 2025–Q1 2026. Fully market-rent exempt under Danish Rent Act. Located in southern Kolding near the new Ringvej Syd with strong infrastructure and growing residential demand."
Sweden,43,2025/10/22,Project Pilen,Antony Pastiroff,Alecta Retail Holding AB,Österåker,Retail,"8,462","1,718","1,526",3,100%,-,-,"Modern retail property located at the entrance to Åkersberga, anchored by Stora Coop (59% of rent) and ÖoB (21%), complemented by Arken Zoo and smaller tenants. Built 2012 with Max Burgers pad-site added 2021. 420 parking spaces incl. 5 EV chargers. Potential for 3,600 sqm BTA expansion and tenant rotation for health/fitness use. Strategic retail location with 1.4m annual visitors, upgraded façade and EV stations in 2024."
Sweden,44,2025/10/27,Project Beam,David Hävermark,Insig AB,Various,Residential,"67,237","1,804","1,309",-,97%,"1,840",4.8%,"Residential investment platform with 39 properties (1,047 rental units) valued at SEK 1.84bn. Portfolio concentrated along the E4/E6 corridor from Helsingborg to Stockholm. LTV 58%. 93% residential, 7% commercial. Current pipeline includes Helsingborg (355 apartments, SEK 530m). Management targets IPO by 2028 with SEK 5bn AUM."
Sweden,44,2025/10/27,Tornby Linköping,David Hävermark,Cramlot AB,Linköping,Industrial,"18,035","1,583","1,473",-,-,-,-,"Three freehold industrial properties totaling 18,035 sqm lettable area on 44,329 sqm land, fully let to 13 tenants incl. Domino , Ryds Glas, Leo’s Lekland, and more. Guaranteed rent 2.9m SEK (2028–2030) and new 15-year Domino lease. Major renovation (fixed-price 37m SEK, completion Dec 2027). Potential +3,000–3,500 sqm building rights (2027 plan update). Long-term potential for tenant repositioning and school spin-off for higher yield."
Denmark,44,2025/10/27,Tæbyvej 65,Anthony Romano,Not stated,Rødovre,Mixed-use,"12,188",-,-,-,-,80,-,"Large education and light-industrial property centrally located in Rødovre near Rødovre Centrum. Comprises 12,188 sqm on 16,549 sqm land, with workshop halls (4–5 m height), offices, and cafeteria. Zoned for mixed use under Kommuneplan F506 (potential for housing conversion). Seller may lease back temporarily post-sale."
Denmark,44,2025/10/27,Fabriksparken 31,Anthony Romano,Not stated,Glostrup,Industrial / educational campus,"17,228",-,-,-,-,120,-,"17,228 sqm industrial and education complex on 43,000 sqm land. Built 1966 (renov. 2006). Located between Ring 3 & 4, with high accessibility and potential expansion rights (70% density). Energy label D. Zoned under Lokalplan 5.1 allowing workshop, teaching, and industrial use. Guide price DKK 120m (6,965 DKK/sqm)."
Denmark,44,2025/10/27,Marielundvej 36–38,Anthony Romano,Not stated,Herlev,Mixed-use (office / production / education),"9,070",-,-,-,-,75,-,"9,070 sqm flexible business and educational complex on 22,034 sqm land, close to Herlev Station and the upcoming light rail. Built 1961/1973. Asking DKK 75m (8,269 DKK/sqm). Area designated for future residential redevelopment under Herlev’s Marielund plan. Energy labels C–D."
Denmark,44,2025/10/29,Erhvervsvej 2,Anthony Romano,Miele A/S,Glostrup,Industrial,"8,326",647,600,1,100%,64,7.8%,"Modern last-mile light-industrial and office property of 8,326 sqm let entirely to Miele A/S on a short-term lease. Annual rent DKK 5.39 m (647 DKK/sqm), net DKK 4.99 m after costs. Strategic location 12 km from Copenhagen CBD near E47 and Motorring 3. Built 1974/1987 on 12,000 sqm plot with 2,368 sqm offices and 3,320 sqm warehouse basement. Potential for re-letting or multi-tenant conversion."
Finland,44,2025/10/29,Project Stratos,Mathias Vuorelma,DWS Group,Vantaa,Industrial,"41,700",-,96,6,90%,-,-,"Mission-critical airport logistics hub occupied by DHL Supply Chain, Freight & Global Forwarding. Built 2006 (41,700 sqm: 21,100 warehouse, 12,100 cross-dock, 8,600 office) on 115,700 sqm freehold plot with 14,800 sqm unused rights. 600 kWp solar panels and geothermal heating to achieve BREEAM Very Good / EPC A. Location adjacent to Ring Road III and Helsinki Airport runways"
Sweden,45,2025/11/04,Bro Mälarstrand,Josefin Bergholtz,Bro Mälarstrand Bostad AB (Magnolia Bostad & KF Fastigheter JV),Various,Residential,"18,600",-,-,-,-,-,-,"Development opportunity within the new Bro Mälarstrand district, offering 18,600 sqm BTA of residential rights (~125 townhouses, avg. 130 sqm). All groundwork and infrastructure completed, zoning plan final since 2018, and ownership freehold. Located lakeside near Bro Hof Slott Golf Club, with access to E18 and commuter rail. Fully serviced plots, ready for construction."
Denmark,45,2025/11/04,Tietgens Boulevard 20,Anthony Romano,Kasper Andersen Invest ApS & S.A.M.G.L Holding ApS,Odense,Industrial,"7,073",577,549,3,100%,61,6.4%,"Modern 7,073 sqm logistics and office property built 2017/2020, fully let to Link Logistics A/S. Features 1,444 sqm offices and 5,629 sqm warehouse with 7 dock doors, 8 ground-level gates, and solar panels. Located in Odense SE industrial park with 1,200 sqm future building rights. Sold as company share deal."
Finland,45,2025/11/05,Project ELEV8,Mathias Vuorelma,Nordano Partners,Various,Residential,"14,702",-,163,-,98%,-,-,"Residential portfolio comprising 8 assets (266 apartments). Average apartment size 51 sqm, 98% occupancy. Built between 1934–2022; 62% of GLA in modern (post-2017) buildings. Freehold tenure (7/8 assets), energy classes B–E. Strong demand across prime Helsinki Metropolitan Area, portfolio positioned for privatization and rent uplift ."
Sweden,45,2025/11/06,Project Sahara,Elisabet Forsell,Holmen AB,Robertsfors,Data centre,"470,000",-,-,-,-,-,-,"Large-scale data centre development project on 145 hectares freehold site in Robertsfors, northern Sweden. Planned for 250–280 MW capacity, powered by 100% renewable energy via Skellefteå Kraft (SE2 zone). Phased delivery: Step 1 – 70 MW (2029), Step 2 – 280 MW (2031). Zoning approval expected Q4 2026, construction-ready 2027. Located 45 min from Umeå and 70 min from Skellefteå with access to E4 and 95% fibre coverage. "
Denmark,46,2025/11/11,Svanevej 17–21,Anthony Romano,Koncenton Metropol A/S,Copenhagen,Residential,"6,780","2,347","2,056",-,100%,-,-,"Contemporary 129-unit residential property built 2006 in the “Fuglekvarteret” of Copenhagen NV. In-place rent 2,347 DKK/sqm p.a., NOI DKK 13.94m, stabilised NOI DKK 19.29m (+38%). EPC B. Fully let, 34 parking spaces (15 basement, 19 street). Rental reversion potential 33%. Constructed on 1971 basement, freehold, sold as share deal."
Denmark,46,2025/11/11,Domus Vista,Anthony Romano,Koncenton Metropol A/S,Frederiksberg,Residential,"5,206","2,545","2,259",-,100%,-,-,"127-unit micro-living property located in Domus Vista, an iconic Copenhagen landmark tower. GLA 5,206 sqm, avg. unit 41 sqm, fully let, EPC B. Built 1969 (redeveloped 2018). In-place rent 2,545 DKK/sqm, NOI 11.76m DKK, stabilised 13.52m DKK (+15%). sale structured as share deal. Located in Frederiksberg near CBS and Frederiksberg Centret. "
Sweden,46,2025/11/11,Projekt Aurora,Filip Gustavsson,,Various,Residential,"40,521","1,288",765,-,97%,517,6.0%,"523-unit residential portfolio in central Boden totalling 40,521 sqm. Stable ~97% occupancy and 2026 NOI of SEK 31m. Strong rent-reversion potential (often +15–33%) and several assets with commercial units or development potential. Concentrated locations close to town centre, transport, and services."
Finland,46,2025/11/13,Project Lumina,Mathias Vuorelma,,Helsinki,Commercial,"10,400",-,274,13,100%,-,-,"Fully let 10,400 sqm mixed hotel-retail asset anchored by Scandic Meilahti (188 rooms) and HOK-Elanto grocery store. Completed 2016 with modern ESG profile. Long fixed hotel lease (14 years at signing) provides secure cash flow; NOI approx. €2.85m. Prime location next to Meilahti Hospital Campus with strong institutional tenant profiles."
Denmark,47,2025/11/18,Project Rock (2),Kristina Alderin,,Various,Residential,"17,852","1,594","1,438",-,-,-,-,"Danish residential build-to-rent portfolio comprising Golfhaven, Grøndals Have and Stenlængepark with total GLA 17,852 sq m and current NOI c. 25.7m DKK. The assets provide modern family and senior housing in growth towns south of Copenhagen."
Sweden,47,2025/11/18,Projekt Tygelspets,Josefin Bergholtz,,Various,Public use,"2,645","2,289","2,126",12,100%,-,-,"Social infrastructure portfolio in Tygelsjö, Malmö consisting of three community-use properties (preschools and LSS housing) totalling 2,645 sq m. Fully let with WAULT ~11.8 years and forecast 2026 NOI c. 5.6m SEK at 100% economic occupancy."
Denmark,47,2025/11/19,Project Life,Kristina Alderin,,Gladsaxe,Life Science,"33,115",761,-,-,99%,-,-,"Mission-critical life-science campus in Gladsaxe Business District with 3 main tenants: Zealand Pharma, Ferrosan Medical Devices and Jespers Torvekøkken. Total GLA 33,115 sqm and annual base rent 25.2m DKK. 99.5% let to blue-chip biotech/med-tech and food-service tenants with significant fit-out, supporting strong stickiness and future rent reversion potential."
Denmark,47,2025/11/19,Rungsted Husene,Anthony Romano,,Hørsholm,Residential,"1,739","1,892","1,687",-,-,65,4.5%,"Former Falck station in Hørsholm converted to residential use and fully re-let in 2024. Comprises 16 residential units with a total area of 1,739 sqm and potential for unit sales and rental uplift."
Denmark,47,2025/11/19,Project Grove (2),Kristina Alderin,,Greve,Residential,"12,780","1,800",-,-,-,-,-,"Modern residential scheme in Greve comprising 184 units developed 2017–2019 with 12,780 sqm residential floor area and in-place rental income of ~23m DKK. Average unit size 69.5 sqm with efficient layouts, 204 parking spaces and BREEAM In-Use “Good” certification. Residential reversionary potential of ~9.6% is indicated in the teaser."
